SKU_NAME,Total Revenue,Units Ordered,Average Revenue per unit
C28HVD[RUK,₹0.00,0,
C293R6CM8U,₹0.00,0,
C29E8QOZ7M,₹0.00,0,
C29GVG:VJD,₹0.00,0,
C29R4SL67\,₹0.00,0,
D00FT8M7O2,₹0.00,0,
D00VXBPXRY,₹0.00,0,
D0149OPL89,₹0.00,0,
D016LM4SES,₹0.00,0,
D01I340V6S,₹0.00,0,
D01JJT40OY,₹0.00,0,
D01KRONLEY,₹0.00,0,
D02DR5SY3I,₹0.00,0,
D02RL461CX,₹0.00,0,
D03G5YCESZ,₹0.00,0,
D03I3XBHVB,₹0.00,0,
D03O20QQDE,₹0.00,0,
D07;D:4VGR,₹0.00,0,
D077Y:ZWDB,₹0.00,0,
D07YK6ZHZK,₹0.00,0,
D083FXSVL4,₹0.00,0,
D08DGZDU5V,₹0.00,0,
D08I7DSN;X,₹0.00,0,
D08NTLH5[D,₹0.00,0,
D09CROKOT7,₹0.00,0,
D09I93YNLP,₹0.00,0,
D09MWYH;XL,₹0.00,0,
D10L[VPYJA,₹0.00,0,
D11DRPRJ84,₹0.00,0,
D11H4WBEUI,₹0.00,0,
D11I165;6C,₹0.00,0,
D11O1LTK5L,₹0.00,0,
D11O3G::ZR,₹0.00,0,
D12125XVGK,₹0.00,0,
D125M8\P:T,₹0.00,0,
D126[CVF9J,₹0.00,0,
D126DM[TMI,₹0.00,0,
D126YHPGCS,₹0.00,0,
D12EDZB8H8,₹0.00,0,
D12ER8NB5R,₹0.00,0,
D12LO8TJJ4,₹0.00,0,
D12NT228XO,₹0.00,0,
D13M1U7NTK,₹0.00,0,
D13N2CIPQM,₹0.00,0,
D17:92M2FW,₹0.00,0,
D172GLQ83Y,₹0.00,0,
D18[3PIF2Y,₹0.00,0,
D18684;3KZ,₹0.00,0,
D186LNCIEV,₹0.00,0,
D187XMSWL3,₹0.00,0,
D1883SDB64,₹0.00,0,
D18K41M8RX,₹0.00,0,
D18KR9P99F,₹0.00,0,
D18PY:ZT93,₹0.00,0,
D1964NJ7MI,₹0.00,0,
D19KHDO;QN,₹0.00,0,
D20:5I8Z8W,₹0.00,0,
D203VCOPFZ,₹0.00,0,
D2097WM9JS,₹0.00,0,
D20JUJF[UO,₹0.00,0,
D211PEL2IE,₹0.00,0,
D214HWSKBO,₹0.00,0,
D218T1DTFG,₹0.00,0,
D21DDDJLQM,₹0.00,0,
D21J9KN6Y6,₹0.00,0,
D21LP:UMOR,₹0.00,0,
D22:1F8F7B,₹0.00,0,
D224XBK2GB,₹0.00,0,
D225J4T84K,₹0.00,0,
D22FIJSD3D,₹0.00,0,
D22TZCQYWC,₹0.00,0,
D236H2[UEM,₹0.00,0,
D236O:ZQ92,₹0.00,0,
D23KPPNNKF,₹0.00,0,
D26XH5B4OM,₹0.00,0,
D271\GMD9Q,₹0.00,0,
D276DLRIUG,₹0.00,0,
D278[PCGZN,₹0.00,0,
D27F5MQK4K,₹0.00,0,
D27HO4VKKH,₹0.00,0,
D27N[9[WYS,₹0.00,0,
D27OBXYZ1D,₹0.00,0,
D28EGTXVWH,₹0.00,0,
D28QU2Q7[:,₹0.00,0,
D28ZI3PXUF,₹0.00,0,
D29S5IMRDI,₹0.00,0,
